date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,optionid,am_settlement,contract_size,expiry_indicator,ticker,exercise_style,Spread,IV,midprice,timeToExp,risk_free_rate,underlying_price
2023-02-28,SPXW 230301C3970000,2023-03-01,2023-02-28,C,3970000,19.8,20.2,1336,417,152346175,0,100,w,SPX,E,0.3999999999999986,0.0,20.0,1,0.04650000000000001,3970150.0
2023-02-28,SPXW 230301P3970000,2023-03-01,2023-02-28,P,3970000,11.0,11.4,4401,694,152346240,0,100,w,SPX,E,0.40000000000000036,0.21632032449324146,11.2,1,0.04650000000000001,3970150.0
2023-02-28,SPXW 230302C3970000,2023-03-02,2023-02-28,C,3970000,26.7,26.9,296,85,152354792,0,100,,SPX,E,0.1999999999999993,0.0,26.799999999999997,2,0.04650000000000001,3970150.0
2023-02-28,SPXW 230302P3970000,2023-03-02,2023-02-28,P,3970000,17.1,17.4,410,386,152354861,0,100,,SPX,E,0.29999999999999716,0.2708691528597322,17.25,2,0.04650000000000001,3970150.0
2023-02-28,SPXW 230303C3970000,2023-03-03,2023-02-28,C,3970000,31.5,31.9,291,629,151914828,0,100,w,SPX,E,0.3999999999999986,0.0,31.7,3,0.04650000000000001,3970150.0
2023-02-28,SPXW 230303P3970000,2023-03-03,2023-02-28,P,3970000,21.9,22.2,1014,1025,151914905,0,100,w,SPX,E,0.3000000000000007,0.3138490422657009,22.049999999999997,3,0.04650000000000001,3970150.0
2023-02-28,SPXW 230306C3970000,2023-03-06,2023-02-28,C,3970000,35.8,36.7,76,224,152297869,0,100,w,SPX,E,0.9000000000000057,0.0,36.25,6,0.04650000000000001,3970150.0
2023-02-28,SPXW 230306P3970000,2023-03-06,2023-02-28,P,3970000,25.8,27.2,544,598,152297935,0,100,w,SPX,E,1.3999999999999986,0.39503056139880033,26.5,6,0.04650000000000001,3970150.0
2023-02-28,SPXW 230307C3970000,2023-03-07,2023-02-28,C,3970000,41.9,43.1,134,23,152488943,0,100,,SPX,E,1.2000000000000028,0.0,42.5,7,0.04650000000000001,3970150.0
2023-02-28,SPXW 230307P3970000,2023-03-07,2023-02-28,P,3970000,31.5,32.6,405,60,152488966,0,100,,SPX,E,1.1000000000000014,0.4276342508763213,32.05,7,0.04650000000000001,3970150.0
2023-02-28,SPXW 230308C3970000,2023-03-08,2023-02-28,C,3970000,45.0,46.2,13,32,152546594,0,100,w,SPX,E,1.2000000000000028,0.0,45.6,8,0.04650000000000001,3970150.0
2023-02-28,SPXW 230308P3970000,2023-03-08,2023-02-28,P,3970000,34.2,35.4,38,167,152546627,0,100,w,SPX,E,1.1999999999999957,0.4519237780727035,34.8,8,0.04650000000000001,3970150.0
2023-02-28,SPXW 230309C3970000,2023-03-09,2023-02-28,C,3970000,48.1,49.7,3,39,152479584,0,100,,SPX,E,1.6000000000000014,0.0,48.900000000000006,9,0.04650000000000001,3970150.0
2023-02-28,SPXW 230309P3970000,2023-03-09,2023-02-28,P,3970000,36.3,37.7,305,577,152479653,0,100,,SPX,E,1.4000000000000057,0.47377678226594677,37.0,9,0.04650000000000001,3970150.0
2023-02-28,SPXW 230310C3970000,2023-03-10,2023-02-28,C,3970000,54.4,56.0,53,72,152265089,0,100,w,SPX,E,1.6000000000000014,0.0,55.2,10,0.04650000000000001,3970150.0
2023-02-28,SPXW 230310P3970000,2023-03-10,2023-02-28,P,3970000,42.6,43.7,446,255,152265168,0,100,w,SPX,E,1.1000000000000014,0.5025389583383264,43.150000000000006,10,0.04650000000000001,3970150.0
2023-02-28,SPXW 230313C3970000,2023-03-13,2023-02-28,C,3970000,57.3,58.9,22,36,152401136,0,100,w,SPX,E,1.6000000000000014,0.0,58.099999999999994,13,0.04650000000000001,3970150.0
2023-02-28,SPXW 230313P3970000,2023-03-13,2023-02-28,P,3970000,44.8,46.2,12,131,152401203,0,100,w,SPX,E,1.4000000000000057,0.55158804232004,45.5,13,0.04650000000000001,3970150.0
2023-02-28,SPXW 230314C3970000,2023-03-14,2023-02-28,C,3970000,65.0,66.5,13,22,152546731,0,100,,SPX,E,1.5,0.0,65.75,14,0.04650000000000001,3970150.0
2023-02-28,SPXW 230314P3970000,2023-03-14,2023-02-28,P,3970000,53.5,54.1,27,178,152546797,0,100,,SPX,E,0.6000000000000014,0.5806117900217597,53.8,14,0.04650000000000001,3970150.0
